,name,explain_name,class_name,class_number,explanation
1,Helc, Helioseris cucullata,COR,0,Coral
2,Mdrc, Madracis,COR,0,Coral
3,Mdrcb, Madracis brueggemanni,COR,0,Coral
4,Mdrsd, Madracis decactis,COR,0,Coral
5,Mdrsf, Madracis formosa,COR,0,Coral
6,Man, Manicina areolata,COR,0,Coral
7,Mon, Montastraea cavernosa,COR,0,Coral
8,Ocu, Oculina diffusa,COR,0,Coral
9,Sco, Scolymia,COR,0,Coral
10,Sol, Scleractinia- unid solitary,COR,0,Coral
11,Ste, Stephanocoenia intersepta,COR,0,Coral
12,STY, Stylasteridae,COR,0,Coral
13,Aga, Agaricia,COR,0,Coral
14,Agaf, Agaricia fragilis,COR,0,Coral
15,Agalg, Agaricia lamarcki/grahamae,COR,0,Coral
16,DCP, Bare dead coral plate,HB,18,Bare hard bottom
17,Beb, Bebryce,ALCG,1,Alcyonacea- gorgonian
18,Carr, Carijoa riisei,ALCG,1,Alcyonacea- gorgonian
19,Dio, Diodogorgia,ALCG,1,Alcyonacea- gorgonian
20,ELL, Ellisellidae,ALCG,1,Alcyonacea- gorgonian
21,Ely, Ellisella,ALCG,1,Alcyonacea- gorgonian
22,GOR, Alcyonacea- gorgonian,ALCG,1,Alcyonacea- gorgonian
23,Hypp, Hypnogorgia pendula,ALCG,1,Alcyonacea- gorgonian
24,ISI, Isididae,ALCG,1,Alcyonacea- gorgonian
25,Lepg, Leptogorgia,ALCG,1,Alcyonacea- gorgonian
26,Mur, Muricea,ALCG,1,Alcyonacea- gorgonian
27,Nic, Nicella,ALCG,1,Alcyonacea- gorgonian
28,Nicg, Nicella goreaui,ALCG,1,Alcyonacea- gorgonian
29,Nicgu, Nicella guadalupensis,ALCG,1,Alcyonacea- gorgonian
30,Plex, Plexauridae,ALCG,1,Alcyonacea- gorgonian
31,Prim, Primnoidae,ALCG,1,Alcyonacea- gorgonian
32,Pseu, Pseudopterogorgia,ALCG,1,Alcyonacea- gorgonian
33,Swi, Swiftia exserta,ALCG,1,Alcyonacea- gorgonian
34,Thes, Thesea,ALCG,1,Alcyonacea- gorgonian
35,Ther, Thesea rubra,ALCG,1,Alcyonacea- gorgonian
36,Vill, Villogorgia,ALCG,1,Alcyonacea- gorgonian
37,ALCA, Alcyonacea- Alcyoniina,ALCA,2,Alcyonacea- Alcyoniina
38,Chic, Chironephthya caribaea,ALCA,2,Alcyonacea- Alcyoniina
39,NEP, Nephtheidae,ALCA,2,Alcyonacea- Alcyoniina
40,Nid, Nidalia,ALCA,2,Alcyonacea- Alcyoniina
41,ANT, Antipatharia,ANT,3,Antipatharia
42,Anta, Antipathes atlantica,ANT,3,Antipatharia
43,Antf, Antipathes furcata,ANT,3,Antipatharia
44,Elaab, Elatopathes abietina,ANT,3,Antipatharia
45,Sti, Stichopathes lutkeni,ANT,3,Antipatharia
46,Tanta, Tanacetipathes tanacetum,ANT,3,Antipatharia
47,ACT, Actinaria,CNI,4,Cnidaria non-coral
48,CER, Cerianthidae,CNI,4,Cnidaria non-coral
49,CNI, Cnidaria non-coral,CNI,4,Cnidaria non-coral
50,Con, Condylactis gigantea,CNI,4,Cnidaria non-coral
51,CRM, Corallimorpharia,CNI,4,Cnidaria non-coral
52,HYD, Hydroidolina,CNI,4,Cnidaria non-coral
53,PEN, Pennatulacea,CNI,4,Cnidaria non-coral
54,Ricf, Ricordia florida,CNI,4,Cnidaria non-coral
55,ZOA, Zoanthidea,CNI,4,Cnidaria non-coral
56,Acan, Acanthella,POR,5,Porifera
57,Agcl, Agelas clathrodes,POR,5,Porifera
58,Agco, Agelas conifera,POR,5,Porifera
59,Agec, Agelas citrina,POR,5,Porifera
60,Age-PR1, Agelas- PR1,POR,5,Porifera
61,Age-PR2, Agelas- PR2,POR,5,Porifera
62,Age-PR3, Agelas- PR3,POR,5,Porifera
63,Age-PR5, Agelas- PR5,POR,5,Porifera
64,Age-PR6, Agelas- PR6,POR,5,Porifera
65,Agl, Agelas,POR,5,Porifera
66,Aio, Aiolochroia crassa,POR,5,Porifera
67,Amp, Amphimedon,POR,5,Porifera
68,Ampc, Amphimedon compressa,POR,5,Porifera
69,Amp-PR1, Amphimedon- PR1,POR,5,Porifera
70,Amp-PR2, Amphimedon- PR2,POR,5,Porifera
71,Apl, Aplysina,POR,5,Porifera
72,Aplb, Aplysina bathyphila,POR,5,Porifera
73,Aplla, Aplysina lacunosa,POR,5,Porifera
74,ASTR, Astrophorida,POR,5,Porifera
75,ASTR-PR1, Astrophorida- PR1,POR,5,Porifera
76,ASTR-PR2, Astrophorida- PR2,POR,5,Porifera
77,Aul, Auletta,POR,5,Porifera
78,AXI, Axinellidae,POR,5,Porifera
79,Axic, Axinella corrugata,POR,5,Porifera
80,AXI-PR1, Axinellidae- PR1,POR,5,Porifera
81,AXI-PR2, Axinellidae- PR2,POR,5,Porifera
82,Bub, Bubaris,POR,5,Porifera
83,Call, Callyspongia,POR,5,Porifera
84,Calv, Callyspongia vaginalis,POR,5,Porifera
85,Chd-PR1, Chondrilla- PR1,POR,5,Porifera
86,Cho, Chondrosia,POR,5,Porifera
87,Cin, Cinachyrella,POR,5,Porifera
88,Cribv, Cribrochalina vasculum,POR,5,Porifera
89,DEM, Demospongiae,POR,5,Porifera
90,DEM-PR1, Demospongiae- PR01,POR,5,Porifera
91,DEM-PR02, Demospongiae- PR02,POR,5,Porifera
92,DEM-PR03, Demospongiae- PR03,POR,5,Porifera
93,DEM-PR04, Demospongiae- PR04,POR,5,Porifera
94,DEM-PR05, Demospongiae- PR05,POR,5,Porifera
95,DEM-PR06, Demospongiae- PR06,POR,5,Porifera
96,DEM-PR07, Demospongiae- PR07,POR,5,Porifera
97,DEM-PR08, Demospongiae- PR08,POR,5,Porifera
98,DEM-PR09, Demospongiae- PR09,POR,5,Porifera
99,DEM-PR10, Demospongiae- PR10,POR,5,Porifera
100,DEM-PR11, Demospongiae- PR11,POR,5,Porifera
101,DEM-PR12, Demospongiae- PR12,POR,5,Porifera
102,DEM-PR13, Demospongiae- PR13,POR,5,Porifera
103,DEM-PR14, Demospongiae- PR14,POR,5,Porifera
104,DEM-PR15, Demospongiae- PR15,POR,5,Porifera
105,DEM-PR16, Demospongiae- PR16,POR,5,Porifera
106,DEM-PR17, Demospongiae- PR17,POR,5,Porifera
107,DEM-PR18, Demospongiae- PR18,POR,5,Porifera
108,DEM-PR19, Demospongiae- PR19,POR,5,Porifera
109,DEM-PR20, Demospongiae- PR20,POR,5,Porifera
110,DEM-PR21, Demospongiae- PR21,POR,5,Porifera
111,DEM-PR22, Demospongiae- PR22,POR,5,Porifera
112,DEM-PR23, Demospongiae- PR23,POR,5,Porifera
113,DEM-PR24, Demospongiae- PR24,POR,5,Porifera
114,DEM-PR25, Demospongiae- PR25,POR,5,Porifera
115,DEM-PR26, Demospongiae- PR26,POR,5,Porifera
