Number,x,y,label_name,class_name
1,108,200,TWS,TWS
2,158,363,ROC,HB
3,642,895,Ana,CHL
4,416,1040,ROC,HB
5,342,1393,RUB,HB
6,125,1358,Ana,CHL
7,213,2113,RUB,HB
8,544,1650,Ana,CHL
9,409,2634,CCA,RHO
10,266,2427,RUB,HB
11,872,419,CCA,RHO
12,1438,200,DEM,POR
13,907,726,ROC,HB
14,1178,752,Ana,CHL
15,1289,1329,ROC,HB
16,836,1399,CCA,RHO
17,1119,1687,RUB,HB
18,1081,1999,RUB,HB
19,1445,2530,Mdrsd,COR
20,1270,2364,RUB,HB
21,2021,244,CCA,RHO
22,2019,519,Ana,CHL
23,1592,807,Ana,CHL
24,1751,999,Ana,CHL
25,1679,1249,Ana,CHL
26,1494,1554,Ana,CHL
27,2137,1881,ROC,HB
28,1982,2005,Ana,CHL
29,1823,2247,Ana,CHL
30,1930,2583,Ana,CHL
31,2266,439,CCA,RHO
32,2566,89,ROC,HB
33,2891,825,Ana,CHL
34,2906,778,Ana,CHL
35,2901,1362,Ana,CHL
36,2428,1575,Ana,CHL
37,2209,2008,Ana,CHL
38,2609,1924,Ana,CHL
39,2422,2323,Ana,CHL
40,2416,2353,Ana,CHL
41,3165,358,Ana,CHL
42,3031,102,ROC,HB
43,3473,585,Ana,CHL
44,3124,786,Ana,CHL
45,3096,1407,Ana,CHL
46,3219,1347,Ana,CHL
47,2989,2139,Ana,CHL
48,3172,2126,ROC,HB
49,3347,2608,CCA,RHO
50,3176,2317,RUB,HB
